id	photo	web_name	team_code	status	code	first_name	second_name	squad_number	news	now_cost	chance_of_playing_this_round	chance_of_playing_next_round	value_form	value_season	cost_change_start	cost_change_event	cost_change_start_fall	cost_change_event_fall	in_dreamteam	dreamteam_count	selected_by_percent	form	transfers_out	transfers_in	transfers_out_event	transfers_in_event	loans_in	loans_out	loaned_in	loaned_out	total_points	event_points	points_per_game	ep_this	ep_next	special	minutes	goals_scored	assists	clean_sheets	goals_conceded	own_goals	penalties_saved	penalties_missed	yellow_cards	red_cards	saves	bonus	bps	influence	creativity	threat	ict_index	ea_index	element_type	team
1	48844.jpg	Ospina	3	a	48844	David	Ospina	13		50	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	0.2	0.0	0	0	0	0	0	0	0	0	20	0	5.0	NA	3.2	FALSE	360	0	0	2	5	0	0	0	0	0	17	2	98	108.6	0.0	0.0	10.9	56	1	1
2	11334.jpg	Cech	3	a	11334	Petr	Cech	33		55	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	18.6	0.0	0	0	0	0	0	0	0	0	159	0	4.7	NA	4.5	FALSE	3060	0	0	16	31	0	0	0	0	0	101	15	705	707.6	20.0	0.0	72.8	409	1	1
3	51507.jpg	Koscielny	3	d	51507	Laurent	Koscielny	6	Lack of match fitness - 50% chance of playing	60	NA	50	0.0	0.0	0	0	0	0	FALSE	0	7.8	0.0	0	0	0	0	0	0	0	0	153	0	4.6	NA	1.9	FALSE	2845	4	0	15	31	0	0	0	3	0	0	18	790	916.6	115.5	331.0	136.3	493	2	1
4	17127.jpg	Mertesacker	3	i	17127	Per	Mertesacker	4	Knee injury - Unknown return date	50	NA	0	0.0	0.0	0	0	0	0	FALSE	0	0.2	0.0	0	0	0	0	0	0	0	0	71	0	3.0	NA	0.0	FALSE	2047	0	0	9	24	0	0	0	1	1	0	1	478	431.0	41.1	123.0	59.5	265	2	1
5	158074.jpg	Gabriel	3	i	158074	Gabriel Armando	de Abreu	5	Ankle injury - Expected back 01 Oct	50	NA	0	0.0	0.0	0	0	0	0	FALSE	0	0.6	0.0	0	0	0	0	0	0	0	0	83	0	4.0	NA	0.0	FALSE	1764	1	0	10	18	0	0	0	3	1	0	9	474	474.4	28.0	176.0	67.8	244	2	1
6	98745.jpg	Bellerín	3	a	98745	Héctor	Bellerín	24		65	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	31.3	0.0	0	0	0	0	0	0	0	0	172	0	4.8	NA	4.5	FALSE	3240	1	6	18	33	0	0	0	3	0	0	18	871	649.6	501.0	260.0	141.1	541	2	1
7	42427.jpg	Gibbs	3	a	42427	Kieran	Gibbs	3		50	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	0.6	0.0	0	0	0	0	0	0	0	0	26	0	1.7	NA	2.7	FALSE	391	1	0	1	6	0	0	0	0	0	0	0	100	96.0	42.9	94.0	23.3	69	2	1
8	27334.jpg	Debuchy	3	a	27334	Mathieu	Debuchy	2		50	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	0.3	0.0	0	0	0	0	0	0	0	0	3	0	1.5	NA	2.7	FALSE	142	0	0	0	3	0	0	0	0	0	0	0	32	26.4	14.8	14.0	5.5	11	2	1
9	80254.jpg	Jenkinson	3	i	80254	Carl	Jenkinson	25	Knee injury - Expected back 05 Nov	50	NA	0	0.0	0.0	0	0	0	0	FALSE	0	0.0	0.0	0	0	0	0	0	0	0	0	28	0	1.4	NA	0.0	FALSE	1228	2	0	0	24	1	0	0	3	1	0	0	189	252.2	123.3	77.0	45.3	178	2	1
10	38411.jpg	Monreal	3	a	38411	Nacho	Monreal	18		60	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	6.9	0.0	0	0	0	0	0	0	0	0	152	0	4.1	NA	3.9	FALSE	3249	0	3	17	34	0	0	0	1	0	0	14	862	710.0	534.1	230.0	147.4	511	2	1
11	101184.jpg	Chambers	3	a	101184	Calum	Chambers	21		45	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	1.7	0.0	0	0	0	0	0	0	0	0	23	0	1.9	NA	2.1	FALSE	322	0	1	2	3	0	0	0	2	0	0	1	119	114.8	33.6	35.0	18.3	70	2	1
12	37265.jpg	Sánchez	3	a	37265	Alexis	Sánchez	7		110	NA	100	0.0	0.0	0	0	0	0	FALSE	0	7.7	0.0	0	0	0	0	0	0	0	0	167	0	5.6	NA	4.5	FALSE	2436	13	5	14	23	0	0	0	1	0	0	17	560	864.2	1089.8	1600.0	355.4	690	3	1
13	20467.jpg	Walcott	3	a	20467	Theo	Walcott	14		75	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	1.5	0.0	0	0	0	0	0	0	0	0	85	0	3.0	NA	3.2	FALSE	1373	5	3	8	12	0	0	0	0	0	0	0	206	309.4	249.8	667.0	122.6	316	3	1
14	37605.jpg	Özil	3	d	37605	Mesut	Özil	11	Lack of match fitness - 25% chance of playing	95	NA	25	0.0	0.0	0	0	0	0	FALSE	0	9.6	0.0	0	0	0	0	0	0	0	0	200	0	5.7	NA	1.0	FALSE	3036	6	19	17	31	0	0	0	4	0	0	30	861	1044.8	2405.1	849.0	429.9	783	3	1
15	19524.jpg	Cazorla	3	a	19524	Santiago	Cazorla	19		75	NA	100	0.0	0.0	0	0	0	0	FALSE	0	1.2	0.0	0	0	0	0	0	0	0	0	44	0	2.9	NA	3.2	FALSE	1290	0	3	7	12	0	0	1	2	1	0	6	303	328.0	615.2	264.0	120.7	259	3	1
16	41792.jpg	Ramsey	3	a	41792	Aaron	Ramsey	8		80	NA	100	0.0	0.0	0	0	0	0	FALSE	0	4.4	0.0	0	0	0	0	0	0	0	0	119	0	3.8	NA	3.4	FALSE	2623	5	5	14	28	0	0	0	4	0	0	9	514	651.4	751.3	906.0	230.9	558	3	1
17	54102.jpg	Wilshere	3	d	54102	Jack	Wilshere	10	Knee injury - 25% chance of playing	60	NA	25	0.0	0.0	0	0	0	0	FALSE	0	0.3	0.0	0	0	0	0	0	0	0	0	6	0	2.0	NA	0.7	FALSE	142	0	0	1	1	0	0	0	0	0	0	0	23	16.4	29.7	10.0	5.6	18	3	1
18	81880.jpg	Chamberlain	3	a	81880	Alex	Oxlade-Chamberlain	15		60	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	1.2	0.0	0	0	0	0	0	0	0	0	44	0	2.0	NA	2.6	FALSE	928	1	1	5	11	0	0	0	0	0	0	0	198	194.0	309.3	278.0	78.1	186	3	1
19	133798.jpg	Gnabry	3	n	133798	Serge	Gnabry	27	Set to miss the first couple of matches of 2016/17 as he is playing for Germany in the summer Olympics. - Expected back 27 Aug	50	NA	0	0.0	0.0	0	0	0	0	FALSE	0	0.0	0.0	0	0	0	0	0	0	0	0	1	0	1.0	NA	0.0	FALSE	13	0	0	0	0	0	0	0	0	0	0	0	2	2.0	15.8	11.0	2.9	4	3	1
20	56864.jpg	Coquelin	3	a	56864	Francis	Coquelin	34		45	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	2.0	0.0	0	0	0	0	0	0	0	0	46	0	1.8	NA	1.5	FALSE	1643	0	0	9	17	0	0	0	5	1	0	2	375	325.0	201.3	54.0	58.0	246	3	1
21	153133.jpg	Iwobi	3	a	153133	Alex	Iwobi	17		60	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	1.5	0.0	0	0	0	0	0	0	0	0	42	0	3.2	NA	2.6	FALSE	628	2	2	5	6	0	0	0	0	0	0	2	156	166.2	202.6	221.0	59.0	150	3	1
22	153256.jpg	Elneny	3	a	153256	Mohamed	Elneny	35		50	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	0.6	0.0	0	0	0	0	0	0	0	0	25	0	2.3	NA	1.9	FALSE	792	0	1	5	8	0	0	0	3	0	0	0	145	133.6	131.8	117.0	38.2	134	3	1
23	99127.jpg	Campbell	3	a	99127	Joel	Campbell	28		60	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	0.2	0.0	0	0	0	0	0	0	0	0	54	0	2.8	NA	2.6	FALSE	884	3	2	5	8	0	0	0	0	0	0	7	223	217.8	226.1	253.0	69.7	175	3	1
24	84450.jpg	Xhaka	3	a	84450	Granit	Xhaka	29		55	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	7.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	NA	2.3	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	3	1
25	44346.jpg	Giroud	3	d	44346	Olivier	Giroud	12	Lack of match fitness - 25% chance of playing	90	NA	25	0.0	0.0	0	0	0	0	FALSE	0	3.3	0.0	0	0	0	0	0	0	0	0	156	0	4.1	NA	0.8	FALSE	2430	16	6	12	26	1	0	0	2	0	0	15	581	782.4	652.8	1663.0	309.8	629	4	1
26	50175.jpg	Welbeck	3	i	50175	Danny	Welbeck	23	Knee injury - Expected back 04 Feb	75	NA	0	0.0	0.0	0	0	0	0	FALSE	0	0.1	0.0	0	0	0	0	0	0	0	0	48	0	4.4	NA	0.0	FALSE	575	4	3	3	10	0	0	0	1	0	0	7	175	226.0	100.7	377.0	70.4	164	4	1
27	80711.jpg	Sanogo	3	a	80711	Yaya	Sanogo	22		50	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	0.2	0.0	0	0	0	0	0	0	0	0	0	0	0.0	NA	1.8	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	4	1
28	154998.jpg	Asano	3	a	154998	Takuma	Asano	NA		50	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	0.2	0.0	0	0	0	0	0	0	0	0	0	0	0.0	NA	1.8	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	4	1
29	18726.jpg	Boruc	91	a	18726	Artur	Boruc	1		45	NA	NA	0.0	0.0	0	0	0	0	FALSE	0	6.4	0.0	0	0	0	0	0	0	0	0	108	0	3.4	NA	0.2	FALSE	2880	0	0	7	51	0	2	0	2	0	77	9	513	579.4	10.0	0.0	58.9	281	1	2
