"Name"	"Team"	"Points"	"Cost"	"Position"	"per"	"per_ord"
"1"	"Gomes"	"Watford"	157	5	"GK"	31.4	"Gomes"
"2"	"Schmeichel"	"Leicester"	147	5	"GK"	29.4	"Schmeichel"
"3"	"Cech"	"Arsenal"	159	5.5	"GK"	28.9090909090909	"Cech"
"4"	"Huth"	"Leicester"	140	5	"DEF"	28	"Huth"
"5"	"Morgan"	"Leicester"	139	5	"DEF"	27.8	"Morgan"
"6"	"Fuchs"	"Leicester"	150	5.5	"DEF"	27.2727272727273	"Fuchs"
"7"	"Bellerín"	"Arsenal"	172	6.5	"DEF"	26.4615384615385	"Bellerín"
"8"	"Butland"	"Stoke"	132	5	"GK"	26.4	"Butland"
"9"	"Daniels"	"Bournemouth"	130	5	"DEF"	26	"Daniels"
"10"	"de Gea"	"Man Utd"	142	5.5	"GK"	25.8181818181818	"de Gea"
"11"	"Alderweireld"	"Spurs"	166	6.5	"DEF"	25.5384615384615	"Alderweireld"
"12"	"Koscielny"	"Arsenal"	153	6	"DEF"	25.5	"Koscielny"
"13"	"Lloris"	"Spurs"	140	5.5	"GK"	25.4545454545455	"Lloris"
"14"	"van Aanholt"	"Sunderland"	127	5	"DEF"	25.4	"van Aanholt"
"15"	"Monreal"	"Arsenal"	152	6	"DEF"	25.3333333333333	"Monreal"
"16"	"Mahrez"	"Leicester"	240	9.5	"MID"	25.2631578947368	"Mahrez"
"17"	"Adrián"	"West Ham"	125	5	"GK"	25	"Adrián"
"18"	"Dawson"	"West Brom"	124	5	"DEF"	24.8	"Dawson"
"19"	"Fabianski"	"Swansea"	123	5	"GK"	24.6	"Fabianski"
"20"	"Williams"	"Swansea"	123	5	"DEF"	24.6	"Williams"
"21"	"Hart"	"Man City"	134	5.5	"GK"	24.3636363636364	"Hart"
"22"	"Cresswell"	"West Ham"	133	5.5	"DEF"	24.1818181818182	"Cresswell"
"23"	"Boruc"	"Bournemouth"	108	4.5	"GK"	24	"Boruc"
"24"	"Simpson"	"Leicester"	120	5	"DEF"	24	"Simpson"
"25"	"Deeney"	"Watford"	166	7	"ATK"	23.7142857142857	"Deeney"
"26"	"Dann"	"Crystal Palace"	130	5.5	"DEF"	23.6363636363636	"Dann"
"27"	"van Dijk"	"Southampton"	130	5.5	"DEF"	23.6363636363636	"van Dijk"
"28"	"Dier"	"Spurs"	130	5.5	"MID"	23.6363636363636	"Dier"
"29"	"Drinkwater"	"Leicester"	129	5.5	"MID"	23.4545454545455	"Drinkwater"
"30"	"Ighalo"	"Watford"	175	7.5	"ATK"	23.3333333333333	"Ighalo"
"31"	"Fonte"	"Southampton"	127	5.5	"DEF"	23.0909090909091	"Fonte"
"32"	"Mignolet"	"Liverpool"	115	5	"GK"	23	"Mignolet"
"33"	"Fletcher"	"West Brom"	103	4.5	"MID"	22.8888888888889	"Fletcher"
"34"	"Cook"	"Bournemouth"	114	5	"DEF"	22.8	"Cook"
"35"	"Ayew"	"West Ham"	171	7.5	"MID"	22.8	"Ayew"
